,Area,Item,Element,Unit,Y2014,Y2015,Y2016,Y2017,Y2018
3,Eastern Africa,Cassava,Area harvested,ha,3887959,4310944,4028257,3803241,3803080
4,Eastern Africa,Cassava,Yield,hg/ha,75880,71639,77065,77950,79235
5,Eastern Africa,Cassava,Production,tonnes,29501823,30883352,31043653,29646096,30133682
6,Middle Africa,Cassava,Area harvested,ha,5851069,5902314,5984635,5386793,5304279
7,Middle Africa,Cassava,Yield,hg/ha,85450,85447,87362,87671,87622
8,Middle Africa,Cassava,Production,tonnes,49997531,50433724,52283169,47226619,46476999
9,Western Africa,Cassava,Area harvested,ha,9279321,9194859,8756188,9369594,9573872
10,Western Africa,Cassava,Yield,hg/ha,96542,99387,102187,97630,97205
11,Western Africa,Cassava,Production,tonnes,89584561,91385095,89477083,91475796,93063057
